nom	code_insee	departement	chef_lieu_departement	chef_lieu_region	longitude	latitude	nom_point
L'Abergement-Clémenciat	01001	01	0	0	4.920378706488112	46.151497820623931
L'Abergement-de-Varey	01002	01	0	0	5.424670251186692	46.00671440706919
Ambérieu-en-Bugey	01004	01	0	0	5.357963695903331	45.958573353967523
Ambérieux-en-Dombes	01005	01	0	0	4.903411999255733	45.998655610092513
Ambléon	01006	01	0	0	5.601278333281349	45.749620878237899
Ambronay	01007	01	0	0	5.359969997649283	46.005378068856807
Ambutrix	01008	01	0	0	5.337764316093753	45.939172838652077
Andert-et-Condon	01009	01	0	0	5.654904641752557	45.794321777928481
Anglefort	01010	01	0	0	5.809031088792616	45.91223328875526
Apremont	01011	01	0	0	5.656725676853233	46.206937026021343
Aranc	01012	01	0	0	5.508584062539942	46.003986230689492
Arandas	01013	01	0	0	5.486870256089213	45.895451362318163
Arbent	01014	01	0	0	5.680527226386595	46.295577172169516
Arbignieu	01015	01	0	0	5.650464366295659	45.728653450120071
Arbigny	01016	01	0	0	4.970682738528028	46.469502920689109
Argis	01017	01	0	0	5.491197562334259	45.934096551597897
Armix	01019	01	0	0	5.585340969471221	45.849094474014258
Ars-sur-Formans	01021	01	0	0	4.823056179778709	45.991870714507009
Artemare	01022	01	0	0	5.692304370420303	45.874526956379789
Asnières-sur-Saône	01023	01	0	0	4.882982867437208	46.383612364245472
Attignat	01024	01	0	0	5.160302101614965	46.286815048264145
Bâgé-la-Ville	01025	01	0	0	4.945649726377493	46.315905769171984
Bâgé-le-Châtel	01026	01	0	0	4.929773756511863	46.308069086448036
Balan	01027	01	0	0	5.098758279003504	45.833959485351642
Baneins	01028	01	0	0	4.902104253251628	46.110370837495886
Beaupont	01029	01	0	0	5.266829654512891	46.411762711338461
Beauregard	01030	01	0	0	4.751013093817734	46.002014483770054
Bellignat	01031	01	0	0	5.632572947094601	46.244439137416926
Béligneux	01032	01	0	0	5.129105926704948	45.852308628977269
Bellegarde-sur-Valserine	01033	01	0	0	5.8254921171203	46.107355009223816
Belley	01034	01	0	0	5.687976619826004	45.759300363801209
Belleydoux	01035	01	0	0	5.777141060480184	46.25271528328161
Belmont-Luthézieu	01036	01	0	0	5.66164259343922	45.880659345718477
Bénonces	01037	01	0	0	5.474816083724973	45.828145804826278
Bény	01038	01	0	0	5.283810447140047	46.319538023723702
Béon	01039	01	0	0	5.755823856387177	45.854974869339806
Béréziat	01040	01	0	0	5.046370587426665	46.367286840540054
Bettant	01041	01	0	0	5.362469325472958	45.94316416710501
Bey	01042	01	0	0	4.846196335049093	46.219381740108915
Beynost	01043	01	0	0	5.001048144162819	45.840236893019316
Billiat	01044	01	0	0	5.785079411262576	46.076817306576324
Birieux	01045	01	0	0	5.040015927578128	45.953039722413322
Biziat	01046	01	0	0	4.944727724037401	46.216838880884382
Blyes	01047	01	0	0	5.248791636279682	45.847286940134772
La Boisse	01049	01	0	0	5.035922137175716	45.842316042568946
Boissey	01050	01	0	0	4.996149212905239	46.381688267840389
Bolozon	01051	01	0	0	5.474424085590448	46.193032206200492
Bouligneux	01052	01	0	0	4.992157859645724	46.022351414222022
Bourg-en-Bresse	01053	01	1	0	5.228413317401763	46.204426991888617
Bourg-Saint-Christophe	01054	01	0	0	5.160249526447126	45.890453046094642
Boyeux-Saint-Jérôme	01056	01	0	0	5.456754994824569	46.030348164738598
Boz	01057	01	0	0	4.909816975419773	46.406585208838742
Brégnier-Cordon	01058	01	0	0	5.619682330695391	45.649185899613073
Brénaz	01059	01	0	0	5.723050038517814	45.948575585866756
Brénod	01060	01	0	0	5.605677215529159	46.06125909253592
Brens	01061	01	0	0	5.695001271668548	45.71858715242562
Bressolles	01062	01	0	0	5.094871590511957	45.867361570899256
Brion	01063	01	0	0	5.552598676773131	46.172383398843628
Briord	01064	01	0	0	5.459895321968423	45.782524545349951
Buellas	01065	01	0	0	5.133877453285622	46.208942956091306
La Burbanche	01066	01	0	0	5.560745596689189	45.846951853397712
Ceignes	01067	01	0	0	5.499652991070245	46.120405174388679
Cerdon	01068	01	0	0	5.465476087856036	46.080610850413947
Certines	01069	01	0	0	5.264367370300617	46.132548992583267
Cessy	01071	01	0	0	6.070530227121127	46.31907005106963
Ceyzériat	01072	01	0	0	5.323314110714757	46.178203697969494
Ceyzérieu	01073	01	0	0	5.726465871938072	45.834963625242331
Chalamont	01074	01	0	0	5.170842169699324	45.99564760221714
Chaleins	01075	01	0	0	4.804952220410501	46.030891931878486
Chaley	01076	01	0	0	5.530928492195139	45.955738544398798
Challes-la-Montagne	01077	01	0	0	5.464868288219382	46.124769529583155
Challex	01078	01	0	0	5.975876900758186	46.18100754407498
Champagne-en-Valromey	01079	01	0	0	5.676996823846055	45.904623964187458
Champdor	01080	01	0	0	5.597128616322226	46.017307265195853
Champfromier	01081	01	0	0	5.81698694480944	46.194068210663872
Chanay	01082	01	0	0	5.785353764842447	46.005627478145357
Chaneins	01083	01	0	0	4.852433103823325	46.096780526241666
Chanoz-Châtenay	01084	01	0	0	5.030478650111536	46.184713644424512
La Chapelle-du-Châtelard	01085	01	0	0	5.024894342840434	46.068612140271213
Charix	01087	01	0	0	5.684096809606961	46.182867991009566
Charnoz-sur-Ain	01088	01	0	0	5.222395884564243	45.864024617796936
Château-Gaillard	01089	01	0	0	5.304324192061262	45.973191245890142
Châtenay	01090	01	0	0	5.202059828546904	46.032880349336629
Châtillon-en-Michaille	01091	01	0	0	5.800157936817967	46.144025161279984
Châtillon-la-Palud	01092	01	0	0	5.248886699140245	45.976107717371114
